Retrieving normalised data from file...
... data loaded.
num_classes = 43
Training with EPOCHS=700 BATCH_SIZE=256 rate=<dynamic> num_colours=3 layer1 depth=18

Epochs	Validation Accuracy
1	0.349433
2	0.396145
3	0.417234
4	0.444218
5	0.440590
6	0.458503
7	0.461224
8	0.460091
9	0.459184
10	0.460317
11	0.457823
12	0.461224
13	0.487302
14	0.486848
15	0.507256
16	0.507029
17	0.508844
18	0.544898
19	0.553288
20	0.554649
21	0.581859
22	0.587302
23	0.587528
24	0.589342
25	0.629478
26	0.621769
27	0.634694
28	0.660091
29	0.668934
30	0.667120
31	0.667347
32	0.671655
33	0.668254
34	0.692971
35	0.691610
36	0.692971
37	0.692971
38	0.690249
39	0.707256
40	0.707029
41	0.709297
42	0.707710
43	0.710658
44	0.704082
45	0.712925
46	0.710884
47	0.712698
48	0.721315
49	0.722449
50	0.725850
51	0.726077
52	0.724717
53	0.725624
54	0.731066
55	0.742177
56	0.742857
57	0.742404
58	0.747846
59	0.749433
60	0.749887
61	0.750794
62	0.794331
63	0.795465
64	0.794558
65	0.794331
66	0.806803
67	0.810204
68	0.806349
69	0.807256
70	0.807937
71	0.825624
72	0.822902
73	0.829025
74	0.829705
75	0.828118
76	0.830385
77	0.831519
78	0.831066
79	0.829932
80	0.827664
81	0.828798
82	0.828798
83	0.828345
84	0.833560
85	0.835374
86	0.842177
87	0.843084
88	0.848073
89	0.840816
90	0.844898
91	0.846712
92	0.843764
93	0.845125
94	0.851247
95	0.857143
96	0.863492
97	0.863719
98	0.862812
99	0.861678
100	0.861905
101	0.893651
102	0.890023
103	0.893878
104	0.893878
105	0.893424
106	0.892971
107	0.897506
108	0.895918
109	0.895692
110	0.896599
111	0.896599
112	0.895918
113	0.896372
114	0.894785
115	0.895238
116	0.895918
117	0.895465
118	0.896825
119	0.896372
120	0.897052
121	0.896599
122	0.896145
123	0.897052
124	0.896599
125	0.897052
126	0.897732
127	0.897506
128	0.898413
129	0.897732
130	0.897732
131	0.898186
132	0.896825
133	0.896825
134	0.895238
135	0.896599
136	0.897959
137	0.896372
138	0.896145
139	0.896599
140	0.896599
141	0.896372
142	0.895465
143	0.897732
144	0.896825
145	0.895692
146	0.897052
147	0.896372
148	0.896372
149	0.895692
150	0.897279
151	0.897959
152	0.896825
153	0.897279
154	0.898639
155	0.880952
156	0.884354
157	0.897959
158	0.895465
159	0.895918
160	0.895692
161	0.895692
162	0.896145
163	0.899773
164	0.901587
165	0.904082
166	0.902721
167	0.916553
168	0.919955
169	0.919274
170	0.920181
171	0.920408
172	0.919955
173	0.925624
174	0.923129
175	0.923583
176	0.923129
177	0.923583
178	0.923583
179	0.923583
180	0.923129
181	0.923356
182	0.923810
183	0.923810
184	0.924490
185	0.924036
186	0.923810
187	0.923583
188	0.924036
189	0.924036
190	0.924036
191	0.924263
192	0.924717
193	0.924717
194	0.924036
195	0.925397
196	0.925170
197	0.925397
198	0.925397
199	0.926531
200	0.926077
201	0.917460
202	0.919501
203	0.924036
204	0.925397
205	0.925850
206	0.924717
207	0.927211
208	0.926531
209	0.926531
210	0.927438
211	0.927211
212	0.927211
213	0.927438
214	0.927211
215	0.927664
216	0.927664
217	0.930612
218	0.930385
219	0.929705
220	0.929932
221	0.929932
222	0.929705
223	0.929932
224	0.930385
225	0.930385
226	0.930385
227	0.930385
228	0.918594
229	0.921315
230	0.924490
231	0.931519
232	0.932653
233	0.932200
234	0.932653
235	0.932426
236	0.933560
237	0.934240
238	0.933560
239	0.933560
240	0.933787
241	0.933787
242	0.934014
243	0.934240
244	0.934240
245	0.934014
246	0.934014
247	0.934467
248	0.934240
249	0.934694
250	0.934240
251	0.934467
252	0.934694
253	0.934694
254	0.934694
255	0.934240
256	0.934694
257	0.934694
258	0.935147
259	0.934467
260	0.934921
261	0.934921
262	0.935828
263	0.935147
264	0.935601
265	0.935374
266	0.935147
267	0.935601
268	0.936054
269	0.935601
270	0.935374
271	0.934694
272	0.936054
273	0.935147
274	0.934467
275	0.934921
276	0.935601
277	0.914059
278	0.935828
279	0.939909
280	0.939683
281	0.939909
282	0.940590
283	0.940816
284	0.941043
285	0.941723
286	0.941043
287	0.942177
288	0.941723
289	0.942404
290	0.941950
291	0.941723
292	0.941497
293	0.941497
294	0.942177
295	0.941723
296	0.941950
297	0.941723
298	0.941950
299	0.942404
300	0.942630
301	0.941950
302	0.941270
303	0.941270
304	0.942177
305	0.941497
306	0.941497
307	0.941043
308	0.941723
309	0.941723
310	0.941497
311	0.941270
312	0.941950
313	0.942404
314	0.942404
315	0.941497
316	0.942404
317	0.942404
318	0.941043
319	0.941497
320	0.941950
321	0.941950
322	0.941497
323	0.941723
324	0.941723
325	0.942177
326	0.941497
327	0.940816
328	0.941270
329	0.941950
330	0.942404
331	0.942177
332	0.941950
333	0.941497
334	0.941043
335	0.941043
336	0.940816
337	0.941043
338	0.941270
339	0.940590
340	0.941043
341	0.940816
342	0.938322
343	0.946712
344	0.945125
345	0.945805
346	0.946259
347	0.946485
348	0.946485
349	0.946485
350	0.946485
351	0.946485
352	0.946259
353	0.946485
354	0.946485
355	0.946485
356	0.946485
357	0.946939
358	0.946939
359	0.946939
360	0.946939
361	0.946032
362	0.946485
363	0.946259
364	0.946259
365	0.946032
366	0.946259
367	0.946032
368	0.945805
369	0.945805
370	0.946032
371	0.946032
372	0.945805
373	0.945578
374	0.945805
375	0.945578
376	0.945578
377	0.945578
378	0.945351
379	0.944898
380	0.944671
381	0.944444
382	0.944898
383	0.944671
384	0.943084
385	0.945125
386	0.943764
387	0.944671
388	0.944444
389	0.944444
390	0.942857
391	0.943084
392	0.943764
393	0.944898
394	0.943311
395	0.943537
396	0.943084
397	0.943084
398	0.943084
399	0.944218
400	0.936735
401	0.935601
402	0.940816
403	0.942857
404	0.942404
405	0.942630
406	0.942857
407	0.942857
408	0.942857
409	0.942404
410	0.942630
411	0.942177
412	0.942404
413	0.942404
414	0.942630
415	0.942630
416	0.942630
417	0.942404
418	0.942177
419	0.942404
420	0.942177
421	0.942177
422	0.942177
423	0.942630
424	0.942857
425	0.942404
426	0.942177
427	0.942630
428	0.942857
429	0.943537
430	0.943311
431	0.943537
432	0.943311
433	0.943311
434	0.943311
435	0.943991
436	0.943764
437	0.942630
438	0.942404
439	0.941950
440	0.942177
441	0.941950
442	0.942177
443	0.942857
444	0.942177
445	0.942630
446	0.942177
447	0.942404
448	0.942404
449	0.942857
450	0.942404
451	0.942177
452	0.940590
453	0.942857
454	0.942177
455	0.941270
456	0.941497
457	0.941270
458	0.940136
459	0.941723
460	0.940816
461	0.941043
462	0.941497
463	0.945351
464	0.946939
465	0.946939
466	0.946485
467	0.946032
468	0.946259
469	0.945351
470	0.946032
471	0.945578
472	0.945578
473	0.946032
474	0.956236
475	0.947166
476	0.951927
477	0.953741
478	0.954195
479	0.954422
480	0.954649
481	0.954195
482	0.954195
483	0.954875
484	0.954422
485	0.954875
486	0.954875
487	0.954649
488	0.954195
489	0.954649
490	0.954649
491	0.955102
492	0.953515
493	0.954195
494	0.954195
495	0.954875
496	0.954422
497	0.953741
498	0.954422
499	0.954422
500	0.954422
501	0.954875
502	0.954875
503	0.955329
504	0.953968
505	0.954195
506	0.955102
507	0.954649
508	0.955329
509	0.956009
510	0.953968
511	0.954875
512	0.953741
513	0.952834
514	0.952154
515	0.952834
516	0.953741
517	0.953061
518	0.952834
519	0.954422
520	0.953741
521	0.953741
522	0.953968
523	0.954422
524	0.953968
525	0.954195
526	0.952154
527	0.953968
528	0.954649
529	0.954195
530	0.951701
531	0.940816
532	0.949206
533	0.949433
534	0.950340
535	0.950794
536	0.951020
537	0.951247
538	0.951474
539	0.951701
540	0.952381
541	0.952608
542	0.952154
543	0.952834
544	0.951927
545	0.952834
546	0.952608
547	0.953288
548	0.953968
549	0.953061
550	0.953741
551	0.953741
552	0.953288
553	0.954422
554	0.953515
555	0.952834
556	0.953288
557	0.953968
558	0.953968
559	0.954422
560	0.954422
561	0.952608
562	0.952381
563	0.951474
564	0.952608
565	0.952154
566	0.953515
567	0.953061
568	0.953741
569	0.954875
570	0.953515
571	0.953741
572	0.953968
573	0.952608
574	0.952834
575	0.953288
576	0.953741
577	0.954195
578	0.953515
579	0.953288
580	0.954422
581	0.953741
582	0.954422
583	0.953515
584	0.953968
585	0.952608
586	0.953968
587	0.953741
588	0.953515
589	0.953288
590	0.954875
591	0.954195
592	0.953288
593	0.956236
594	0.956689
595	0.948526
596	0.951474
597	0.952381
598	0.953515
599	0.953515
600	0.953288
601	0.953288
602	0.953968
603	0.954422
604	0.954422
605	0.954649
606	0.953968
607	0.953741
608	0.953515
609	0.953968
610	0.953288
611	0.953288
612	0.953741
613	0.954649
614	0.954422
