Retrieving normalised data from file...
... data loaded.
num_classes = 43
Training with EPOCHS=700 BATCH_SIZE=256 rate=<dynamic> num_colours=3 layer1 depth=18

Epochs	Validation Accuracy
615	0.953515
616	0.953741
617	0.953968
618	0.954422
619	0.953968
620	0.953061
621	0.953968
622	0.953288
623	0.954195
624	0.952608
625	0.953968
626	0.953061
627	0.954875
628	0.954422
629	0.953061
630	0.953288
631	0.953968
632	0.953968
633	0.953515
634	0.953741
635	0.953741
636	0.953061
637	0.952154
638	0.952608
639	0.953515
640	0.954875
641	0.952834
642	0.952834
643	0.952381
644	0.952381
645	0.952834
646	0.952834
647	0.954875
648	0.953968
649	0.954195
650	0.953061
651	0.954649
652	0.953288
653	0.953968
654	0.950113
655	0.943537
656	0.946939
657	0.950567
658	0.950113
659	0.950113
660	0.948980
661	0.949206
662	0.949206
663	0.949206
664	0.948980
665	0.949433
666	0.949433
667	0.949887
668	0.949433
669	0.949887
670	0.950794
671	0.950340
672	0.949660
673	0.949887
674	0.949433
675	0.950113
676	0.951247
677	0.950340
678	0.949887
679	0.951247
680	0.951247
681	0.951247
682	0.950113
683	0.949887
684	0.950340
685	0.951247
686	0.951247
687	0.951247
688	0.950340
689	0.950567
690	0.950340
691	0.949887
692	0.951020
693	0.951474
694	0.951020
695	0.950794
696	0.949887
697	0.951701
698	0.950113
699	0.950113
700	0.950567
Model saved as traffic_sign_classifier_model-E700-B256-R0.000125-C3-L1D18
