Retrieving normalised data from file...
... data loaded.
num_classes = 43
Training with EPOCHS=700 BATCH_SIZE=256 rate=<dynamic> num_colours=3 layer1 depth=24

Epochs	Validation Accuracy
445	0.934467
446	0.934240
447	0.934240
448	0.935147
449	0.923810
450	0.931066
451	0.935828
452	0.936508
453	0.936961
454	0.936961
455	0.937415
456	0.937868
457	0.937868
458	0.937868
459	0.937868
460	0.938549
461	0.937642
462	0.939002
463	0.938776
464	0.939456
465	0.939229
466	0.939456
467	0.939683
468	0.936961
469	0.937868
470	0.937868
471	0.937188
472	0.937642
473	0.937415
474	0.937642
475	0.937642
476	0.937415
477	0.937868
478	0.938095
479	0.938776
480	0.938549
481	0.938549
482	0.938776
483	0.938776
484	0.938776
485	0.938549
486	0.938549
487	0.939456
488	0.939229
489	0.939456
490	0.939002
491	0.939456
492	0.939229
493	0.939002
494	0.939002
495	0.939683
496	0.939683
497	0.939683
498	0.939683
499	0.939229
500	0.939683
501	0.940816
502	0.939683
503	0.939456
504	0.940590
505	0.940816
506	0.940590
507	0.940590
508	0.940590
509	0.940363
510	0.940590
511	0.931066
512	0.928118
513	0.934921
514	0.937415
515	0.937642
516	0.937188
517	0.937415
518	0.937642
519	0.938095
520	0.938549
521	0.939002
522	0.939002
523	0.939002
524	0.939229
525	0.939456
526	0.939456
527	0.939002
528	0.939909
529	0.940816
530	0.940136
531	0.941497
532	0.941723
533	0.941043
534	0.941497
535	0.941497
536	0.941270
537	0.941270
538	0.941497
539	0.942177
540	0.939683
541	0.940363
542	0.941950
543	0.940363
544	0.941270
545	0.941270
546	0.941723
547	0.941497
548	0.941043
549	0.941950
550	0.939909
551	0.941950
552	0.942177
553	0.942177
554	0.943537
555	0.943537
556	0.944444
557	0.943991
558	0.942404
559	0.945351
560	0.944218
561	0.941723
562	0.943311
563	0.941950
564	0.942857
565	0.943991
566	0.941723
567	0.942630
568	0.944671
569	0.943764
570	0.943764
571	0.939909
572	0.942177
573	0.943764
574	0.945125
575	0.942630
576	0.943537
577	0.942404
578	0.942177
579	0.944671
580	0.941723
581	0.940363
582	0.939683
583	0.941270
584	0.941950
585	0.942630
586	0.942630
587	0.943311
588	0.942630
589	0.943084
590	0.943311
591	0.943764
592	0.943311
593	0.943764
